Id,Label,Attribut,Kernwort,Bedeutung,Autor:in,Jahr,Jahrhundert
"Du, Beating, bist ein hübscher, glatter, tiefer Hafen, gut ausgebaggert, man sieht bis auf den Grund.","Du, Beating, bist ein hübscher, glatter, tiefer Hafen, gut ausgebaggert, man sieht bis auf den Grund.",Metapher,Hafen,Beschreibung einer Figur,,,
"durch die breite Pforte in den Himmel eingehen, statt durch die schmale","durch die breite Pforte in den Himmel eingehen, statt durch die schmale",Metapher,Pforte,den einfachen Weg nehmen statt den schweren,,,
durchdringend ,durchdringend ,Metapher,durchdringend ,intensiv,,,
Eden,Eden,Metapher,Eden,ein positiver Ort,,,
ein Auge auf jemanden werfen,ein Auge auf jemanden werfen,Metapher,Auge ,jemanden attraktiv finden oder sich in jemanden verliebt haben,,,
ein bloßer Schatten dolcht mir ein großer Riese,ein bloßer Schatten dolcht mir ein großer Riese,Metapher,Riese,eine Nichtigkeit bekommt Bedeutung,,,
"ein Boden werden, darin der Same zu Früchten aufgehen kann","ein Boden werden, darin der Same zu Früchten aufgehen kann",Metapher,Boden,die Voraussetzung für eine positive Prägung bekommen,,,
ein düstrer Vorhang verbirgt etwas,ein düstrer Vorhang verbirgt etwas,Metapher,Vorhang,man weiß etwas nicht,,,
ein Herz an Felsen zermalmen,ein Herz an Felsen zermalmen,Metapher,zermalmen,sich grämen,,,
ein Langes und ein Breites,ein Langes und ein Breites,Metapher,lang,ausführlich,,,
ein Tropfen im Meere der Wahrheit und Aufklärung,ein Tropfen im Meere der Wahrheit und Aufklärung,Metapher,Tropfen,Ein kleiner Beitrag zur Aufklärung,,,
ein verschlungenes Knäuel aufwickeln,ein verschlungenes Knäuel aufwickeln,Metapher,Knäuel,etwas klar betrachten,,,
eine abgeschlossene Welt sein,eine abgeschlossene Welt sein,Metapher,Welt,für sich sein,,,
eine Debatte in ein anderes Fahrwasser lenken,eine Debatte in ein anderes Fahrwasser lenken,Metapher,Fahrwasser,eine Diskussion verändern,,,
eine Eigenheit / Eigenschaft tritt hervor,eine Eigenheit / Eigenschaft tritt hervor,Metapher,hervortreten,etwas ist besonders offensichtlich,,,
eine fremde Vernunft drückt ihr Siegel auf seine Eigentümlichkeit,eine fremde Vernunft drückt ihr Siegel auf seine Eigentümlichkeit,Metapher,aufdrücken,jemand anderes urteilt über ihn,,,
eine Gestalt zerschneiden,eine Gestalt zerschneiden,Metapher,zerschneiden,das Bild stören,,,
"eine Klappe im Gehirn sich öffnete«, – und dann fiel prompt ein neues Trachtenmotiv heraus","eine Klappe im Gehirn sich öffnete«, – und dann fiel prompt ein neues Trachtenmotiv heraus",Metapher,Klappe,Beschreibung einer kreativen Leistung,,,
