Ursprung,Ziel,Typ
Das Herz ist eine unüberwindliche Festung,Maria,Ungerichtet
jemandem auf die Schulter klopfen,Maria,Ungerichtet
die Hand im Spiel haben,Die Amtmannin von Hohenweiler,Ungerichtet
das Herz vor jemandem ausschütten,Die Amtmannin von Hohenweiler,Ungerichtet
etwas in Dunkel hüllen,Alf von Dülmen,Ungerichtet
Nass bis auf die Knochen sein,Alf von Dülmen,Ungerichtet
Den Arm von etwas auf sich lenken,Alf von Dülmen,Ungerichtet
an der Stufe des richtenden Throns / des Richterstuhls,Alf von Dülmen,Ungerichtet
Gnade vor den Augen von jemandem finden,Alf von Dülmen,Ungerichtet
ein Auge auf jemanden werfen,Alf von Dülmen,Ungerichtet
den Nacken unter ein Joch beugen,Alf von Dülmen,Ungerichtet
Pfad des Glücks,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
in einem Labyrinth herumirren,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
dicke Finsternis durchbrechen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
von einem Gefühl verschlungen werden,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
"Tore zu Reichtum, Ruhm und Genuß aufsprengen","Fausts Leben, Taten und Höllenfahrt",Ungerichtet
tief herabsinken,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
gedrückt von einer schweren Schuldenlast,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
sich etwas auf den Hals ziehen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Das Herz des Stolzen schlägt den Sanftern nieder,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
ein verschlungenes Knäuel aufwickeln,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Licht in die Finsternis bringen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
über die Grenzen (von etwas Immateriellem) treiben,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
in etwas verwickelt sein,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Leib des Herrn,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
den Banden der Menschheit entrissen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
am Rande der Hölle,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
ein düstrer Vorhang verbirgt etwas,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
nie still stehen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
jemanden in Staub treten,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
auf militärischen Fuß eingerichtet sein,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
weit bringen,Woldemar,Ungerichtet
an etwas hängen,Woldemar,Ungerichtet
im Flug,Woldemar,Ungerichtet
das Herz schlägt die Brust entzwei,Woldemar,Ungerichtet
jemand steht jemand anderem vor der Seele,Woldemar,Ungerichtet
auf jemanden ein Glück bauen können,Woldemar,Ungerichtet
mit eisernem Arm regieren,Woldemar,Ungerichtet
ein Herz an Felsen zermalmen,Woldemar,Ungerichtet
über Basilisken brüten,Woldemar,Ungerichtet
Wesen und Taten zweier Menschen schlingen sich zu einem uauflöslichen Gewebe ineinander,Woldemar,Ungerichtet
tief gehen,Woldemar,Ungerichtet
etwas haftet an einem,Woldemar,Ungerichtet
Ins Leben hinein wandeln,Woldemar,Ungerichtet
in der Gegenwart von jemandem schweben,Woldemar,Ungerichtet
sich um jemanden reißen,Woldemar,Ungerichtet
sich verlieren,Das Blüthenalter der Empfindung,Ungerichtet
etwas ans Herz drücken,Das Blüthenalter der Empfindung,Ungerichtet
das Herz schlägt die Brust entzwei,Das Blüthenalter der Empfindung,Ungerichtet
Mit dem Blick der Sehnsucht auf etwas zurück schauen,Das Blüthenalter der Empfindung,Ungerichtet
Etwas ist in ein Schicksal verwebt,Das Blüthenalter der Empfindung,Ungerichtet
Ringmauern des Gebrauchs,Das Blüthenalter der Empfindung,Ungerichtet
geheime Seligkeiten aufschließen,Das Blüthenalter der Empfindung,Ungerichtet
Fesseln zerreißen,Das Blüthenalter der Empfindung,Ungerichtet
die Spitze auf einen Gegner wenden,Das Blüthenalter der Empfindung,Ungerichtet
Das Meer von Gefühlen,Das Blüthenalter der Empfindung,Ungerichtet
in einem Meer von Liebe und Entzücken schwimmen,Das Blüthenalter der Empfindung,Ungerichtet
Blüthenhaine einer regellosen Phantasie,Das Blüthenalter der Empfindung,Ungerichtet
Freude und Schmerz erschienen und flohen,Das Blüthenalter der Empfindung,Ungerichtet
Leidenschaften begegnen sich,Das Blüthenalter der Empfindung,Ungerichtet
Etwas (z.B. ein Buch) wird verschlungen,Das Blüthenalter der Empfindung,Ungerichtet
Etwas fällt wie Nebel von den Augen,Das Blüthenalter der Empfindung,Ungerichtet
die felsenharte Unmöglichkeit entgegengestellt bekommen,Das Blüthenalter der Empfindung,Ungerichtet
Bemerkungen treffen ins Ziel,Das Blüthenalter der Empfindung,Ungerichtet
etwas wallt mit großer Flut hinunter,Das Blüthenalter der Empfindung,Ungerichtet
Verborgenen Edelstein finden,Das Blüthenalter der Empfindung,Ungerichtet
jemandem ein Herz geben,Das Blüthenalter der Empfindung,Ungerichtet
in den Kreis der Wirklichkeit zurückführen,Agnes von Lilien,Ungerichtet
Geist und Grazie zum Band des Umgangs weben,Agnes von Lilien,Ungerichtet
Die Vergangenheit umleuchtet uns als freundlicher Strahl,Agnes von Lilien,Ungerichtet
hoch über andere erhaben sein,Agnes von Lilien,Ungerichtet
Bahn des Rechten,Agnes von Lilien,Ungerichtet
In der eigenen Sphäre sein,Agnes von Lilien,Ungerichtet
sich wegwerfen,Hyperion Fragment,Ungerichtet
sich verlieren,Hyperion Fragment,Ungerichtet
mich selbst an das Geliebte verlieren,Hyperion Fragment,Ungerichtet
Begraben in ihr Elend,Hyperion Fragment,Ungerichtet
etwas drückt jemanden unaussprechlich nieder,Hyperion Fragment,Ungerichtet
Trümmer ehemals gemachter Gedanken zusammenlesen,Hyperion Fragment,Ungerichtet
im Lande der Vergänglichkeit,Hyperion Fragment,Ungerichtet
etwas ans Herz drücken,Hyperion Fragment,Ungerichtet
Trümmer aus beßrer Zeit,Hyperion Fragment,Ungerichtet
entfliehendes Leben,Hyperion Fragment,Ungerichtet
Niederdrücken mit seiner Hoheit,Hyperion Fragment,Ungerichtet
kein Arkadien aufwachsen,Hyperion Fragment,Ungerichtet
von Leiden gedrückt,Hyperion Fragment,Ungerichtet
etwas drückt jemanden zu Boden,Hyperion Fragment,Ungerichtet
von jemandem gefesselt werden,Hyperion Fragment,Ungerichtet
Verloren in Gram,Hyperion Fragment,Ungerichtet
Wie Wölkchen ums Morgenlicht,Hyperion Fragment,Ungerichtet
Wenn kömmt das große Wiedersehen der Geister?,Hyperion Fragment,Ungerichtet
In der eigenen Sphäre sein,Elisa,Ungerichtet
der Luxus breitet seine verderblichen Fittiche aus,Elisa,Ungerichtet
auf der Bahn des Lebens wandeln,Elisa,Ungerichtet
tief unter etwas stehen,Elisa,Ungerichtet
ein Tropfen im Meere der Wahrheit und Aufklärung,Elisa,Ungerichtet
Glied einer Kette sein,Elisa,Ungerichtet
etwas der Vergessenheit übergeben,Elisa,Ungerichtet
"an einen Faden anknüpfen, den man zuvor fallen ließ",Elisa,Ungerichtet
Hinderniss der Glückseligkeit,Elisa,Ungerichtet
der Fesseln entledigt sein,Florentin,Ungerichtet
den Weg verfehlen,Florentin,Ungerichtet
einen Thron besitzen,Florentin,Ungerichtet
in ein schöneres Dasein übergehen,Florentin,Ungerichtet
sein Leben hängt an meinem Spiele,Florentin,Ungerichtet
weitläufiger Dank,Florentin,Ungerichtet
so weit mich mein Gedächtnis zurückträgt,Florentin,Ungerichtet
