Ursprung,Ziel,Typ
"Ich verbrachte ein Jahr in wahrer Schmetterlingsexistenz, von einer Blume zur andern flatternd",Immer mutig!,ungerichtet
sich wiegen mit der Waage der Dankbarkeit,Geld und Geist,ungerichtet
"Wie der östreichische Soldat auf die Haselbank, ist der arme Mensch mit seinen eigenen Gedanken fast wie mit seinen Haaren gefesselt an das, was ihn drückt, beschwert, kann  nicht mehr loskommen, stöhnt, klöhnt, zappelt, zanket, webert, wimmert, aber alles umsonst, er ist angeschmiedet mit Fesseln, gegen welche keine Feile hilft. Menschen können ihm nicht helfen, und Gott will es nicht, denn wer sich hinstreckt auf diese Bank, der hat auch von Gott gelassen.",Geld und Geist,ungerichtet
"der Abgrund öffnet sich, aus welchem als grauenvolles Gespenst die Zwietracht steigt",Geld und Geist,ungerichtet
"daß den meisten Lebensbürden die Eigenschaft anwohne, daß sie immer schwerer werden, je länger man als Bürde und ununterbrochen sie trage, daß ihre Last zu einer Unerträglichkeit sich zu steigern vermöge, in welcher jedes andere Gefühl, jedes Glück und jede Freude untergeht",Geld und Geist,ungerichtet
"Das wahre Glück des Menschen ist eine zarte Blume, tausenderlei Ungeziefer umschwirret sie, ein unreiner Hauch tötet sie. Zum Gärtner ist ihr der Mensch gesetzt, sein Lohn ist Seligkeit, aber wie Wenige verstehen ihre Kunst, wie Viele setzen mit eigener Hand in der Blume innersten Kranz der Blume giftigsten Feind; wie Viele sehen sorglos zu, wie das Ungeziefer sich ansetzt, haben ihre Lust daran, wie dasselbe nagt und frißt, die Blume erblaßt! Wohl dem, welchem zu rechter Zeit das Auge aufgeht, welcher mit rascher Hand die Blume wahret, den Feind tötet; er wahret seines Herzens Frieden, er gewinnt seiner Seele Heil,",Geld und Geist,ungerichtet
"ein gärender Vulkan, in jedem Augenblick vermögend loszubrechen in verderblichen Flammen, rücksichtslos alles um sich her verzehrend",Lebensansichten des Katers Murr,ungerichtet
"hüllt sich aber gar bald wieder in das heilige Dunkel ein, worin er ihm bisher immer erschienen war",Peregrinus Proteus,ungerichtet
"die Erwartungen in dem magischen Helldunkel, worein man jemanden einhüllt, immer höher spannen",Peregrinus Proteus,ungerichtet
"Schwermuth und Verfinsterung, worein ihn das Gefühl der Leerheit stürzt",Peregrinus Proteus,ungerichtet
"vermittelst einer vermeinten erhabenen Art von Magie in die Gemeinschaft höherer Wesen zu kommen, und von einer Stufe dieses geistigen Lebens zur andern endlich zum unmittelbaren Anschauen und Genuß der höchsten[12] Urschönheit zu gelangen",Peregrinus Proteus,ungerichtet
"Glaubst du denn, daß die Natur in ihrem ganzen Leben nur ein einzigmal Luft, Feuer, Wasser, Erde zusammen knetete, und nur eine einzige so schöne Wachspuppe daraus bildete, wie die Ungetreue, die »dich izt, lahm geschlagen hat?",Belphegor,ungerichtet
"O die Menschen können die Empfindung gar herrlich abschleifen! Sie reiben an Geduld und Empfindung so lange, bis die Schärfe stumpf ist.",Belphegor,ungerichtet
der Firniß ist von meiner Fantasie weggewischt: laß dir Deine auch ausputzen!,Belphegor,ungerichtet
"so wird die Hülle in kurzem Löcher bekommen: sie zersetzen sie dir, oder du mußt sie bey Seite legen und dich so lange herumbalgen, bis du dich in Autorität gesezt hast: dann fürchten sie sich, und du kannst dein Hüllchen wieder hervorholen",Belphegor,ungerichtet
ihr Bild mit seinen innersten Gedanken so ganz zusammen gewachsen,Belphegor,ungerichtet
"Glaubst du denn, daß die Natur in ihrem ganzen Leben nur ein einzigmal Luft, Feuer, Wasser, Erde zusammen knetete, und nur eine einzige so schöne Wachspuppe daraus bildete, wie die Ungetreue, die »dich izt, lahm geschlagen hat?",Belphegor,ungerichtet
"Geh zum Fegefeuer mit deinen Predigten, Wahnwitziger!",Belphegor,ungerichtet
"man lasse ihn die vergangnen Zeiten, die Geschichte der Menschheit und der Völker durchwandern; man werfe ihn in den Wirbel des Eigennutzes, des Neides und der Unterdrückung, in welchem seine Zeitgenossen herumgetrieben werden",Belphegor,ungerichtet
"Der Eingang ins Leben ist ein Pfad, den Könige und Bettler auf gleiche Art betreten. Der Ausgang hat vielerlei Pforten. Ob wir durch die Mittel- oder Seitentür hinauskommen, ist einerlei. Hinaus läßt man uns gewiß.",Rinaldo Rinaldini,ungerichtet
"tobend wie empörte Meereswogen, über den Nacken der hohen Apenninen",Rinaldo Rinaldini,ungerichtet
"Er lebt in den Canzonetten der Florentiner, in den Gesängen der Kalabresen, und in den Romanzen der Sizilianer.",Rinaldo Rinaldini,ungerichtet
"auf einer Art Rosen gehen, die keine Dornen hat",Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
jedem seiner Lügenschlösser legt er ein Fundament von richtigen Umständen,Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
"spannte alle diese Natursegel nur auf, um den Hafen eines einzigen schönen und reichen Fräuleins zu erreichen",Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
Jeder Theil seines Körpers schien es auf eine besondere Festung anzulegen und auf sichere Eroberung Anspruch zu machen,Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
"Rolle, die mit so vielen Randglossen verbrämt war, daß die Tressen das Tuch, die Noten den Text kaum frische Luft schöpfen ließen",Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
"daß Jungfrauen nicht, wie Aecker, durch Fruchtbarkeit im Anschlage steigen",Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
war Aufruhr und stürmte und warf ein Dutzend ertrunkner Schiffbrüchigen zum Großen Kanal herein bis an den Palast des alten Dogen,Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
"seine Geburt warf ihn in andre Umstände, unter andre Menschen, in eine andre Laufbahn",Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
"Ein großer Geist, ein edel Herz wiegt manches Laster auf",Kreuz- und Querzüge des Ritters von A bis Z,ungerichtet
